QTY,REFERENCE,DESCRIPTION,MANU,PART NUMBER,REV PROD_C3
,,,CUI,PJ-002AH,
,,,MTCONN,DC630-20D01,
1,P4,CONN RCPT USB MINI B R/A SMD,Hirose,UX60SC-MB-5ST(80),
1,P5,RJ-45 10/100 W/Magnetics,Link PP,LPJ0011BBNL,
1,P3,CONN RCPT USB TYPE A R/A PCB,FCI,87520-0010BLF,
,,,Foxconn,UB11123-4H9-4F,
1,P10,Connector SD/MMC,YU LIANG,YL004-030-001,
,,,Molex,502774-0891,
1,P6,HDMI / Displayport / DVI Connectors MICRO HDMI RCPT SMT DIP+ SMT LEG TYPE D,FCI,10118241-001RLF,
6,"R23,R24,R25,R26,R163,R164",RES 4.75K OHM 1/16W 1% 0402 SMD,Stackpole,RMCF0402FT4K75,
,,,KOA,RK73H1ETTP4751F,
,,,Vishay,CRCW04024K75FKED,
,,,NIC,NRC04F4751TRF,
,,,YAGEO,RC0402JR-074K7L,
,,,YAGEO,RC0402FR-074K7L,
4,"R71,R72,R73,R74",RES 2.2K-5%-1/16W 0402 SMD,YAGEO,RC0402JR-072K2L,
1,R144,RES 12.1K OHM 1/16W 1% 0402 SMD,Yageo,RC0402FR-0712K1L,
1,R136,RES .10 OHM 1/8W 5% 0805,CTS,73L3R10J,
,,,YAGEO,RL0805JR-070R1L,
9,"R3,R4,R97,R112,R113,R114,R119,R146,R147",RES 1.50K OHM 1/16W 1% 0402 SMD,Yageo,RC0402FR-071K5L,
,,,NIC,NRC04F1501TRF,
3,"R12,R130,R132",RES 470 OHM 1/10W 5% 0402 SMD,Panasonic,ERJ-2GEJ471X,
,,,YAGEO,RC0402JR-07470RL,
22,"R1,R56,R65,R66,R67,R68, R76,R77,R78,R79,R80,R82,R83,R84,R85,R86, R87,R88, R89, R94,R95,R165",Resistor 100Kohm 1/16W 1% 0402,Stackpole,RMCF0402FT100K,
,,,Vishay,CRCW0402100KFKED,
,,,Yageo,RC0402FR-07100KL,
,,,NIC,NRC04F1003TRF,
11,"R75,R125,R126,R127,R128,R129,R131,R133,R134,R138,R139",RES 100 OHM 1/16W 5% 0402 SMD,Yageo,RC0402FR-07100RL,
,,,KOA,RK73B1ETTP101J,
,,,ROHM,MCR01MZPF1000,
,,,STACKPOLE,RMCF0402JT100R,
,,,NIC,NRC04J101TRF,
1,R143,RES 10.0 OHM 1/16W 1% 0402 SMD,Yageo,RC0402FR-0710RL,
,,,KOA,RK73H1ETTP10R0F,
,,,STACKPOLE,RMCF0402FT10R0,
,,,NIC,NRC04F10R0TRF,
23,"R5,R6,R7,R8,R19,R20,R27,R29,R30,R37,R46,R47,R48,R49,R50,R51,R137,R142,R149,R159,R160,R161,R162",Resistor Zero ohm Jumper 0402,Yageo,RC0402JR-070RL,
,,,VISHAY TECHNOLOGY,CRCW04020000Z0ED,
,,,STACKPOLE,RMCF0402ZT0R00,
,,,ROHM,MCR01MZPJ000,
,,,KOA,RK73Z1ETTP,
,,,NIC,NRC040TRF,
1,R45,Resistor 22ohm 1/16W 1% 0402,Yageo,RC0402FR-0722RL,
,,,KOA,RK73B1ETTP220J,
,,,Stackpole,RMCF0402JT33R0,
,,,Vishay,CRCW040222R0JNED,
,,,NIC,NRC04J220TRF,
36,"R14,R33,R34,R52,R53,R54,R96,R98,R100,R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R115,R116,R117,R118,R135,R145,R148,R150,R151,R152,R153,R154,R155,R156,R157,R158",Resistor 10Kohm 1/16W 5% 0402,Rohm,MCR01MZPJ103,
,,,KOA,RK73B1ETTP103J,
,,,ROHM,MCR01MRTJ103,
,,,Stackpole,RMCF0402JT10K0,
,,,Vishay,CRCW040210K0JNED,
,,,YAGEO,RC0402FR-0710KL,
1,R17,Resistor 1Mohm 1/16W 1% 0402,Stackpole,RMCF0402FT1M00,
,,,Vishay,CRCW04021M00FKED,
,,,Yageo,RC0402FR-071ML,
,,,NIC,NRC04F1004TRF,
5,"R22,R120,R121,R122,R123",RES 49.9 OHM 1/16W 1% 0402 SMD,Yageo,RC0402FR-0749R9L,
,,,KOA,RK73H1ETTP49R9F,
,,,NIC,NRC04F49R9TRF,
1,R11,RES TF 1/16W 280K OHM 1% 0402,Stackpole,RMCF0402FT280K,
,,,Vishay,CRCW0402280KFKED,
,,,NIC,NRC04F2803TRF,
,,,YAGEO,RC0402FR-07280KL,
1,R99,RES 240 OHM 1/16W 1% 0402 SMD,Yageo,RC0402FR-07240RL,
,,,Stackpole,RMCF0402FT240R,
,,,ROHM,MCR01MZPF2400,
,,,Vishay,CRCW0402240RFKED,
,,,NIC,NRC04F2400TRF,
1,R10,RES 470K OHM 1/16W 1% 0402 SMD,Yageo,RC0402FR-07470KL,
,,,Stackpole,RMCF0402FT470K,
,,,Vishay,CRCW0402470KFKED,
,,,NIC,NRC04F4703TRF,
1,R166,RES 27K OHM 1/16W 1% 0402 SMD,Yageo,RC0402FR-0727KL,
,,,NIC,NRC04F2702TRF,
25,"R2,R13,R15,R16,R18,R21,R28,R31,R32,R35,R36,R38,R39,R40,R41,R42,R43,R44,R167,R168,R169,R170,R171,R172,R173",RES 33 OHM 1/16W 5% 0402 SMD,Yageo,RC0402JR-0733RL,
,,,KOA,RK73B1ETTP330J,
,,,Stackpole,RMCF0402JT33R0,
,,,Vishay,CRCW040233R0JNED,
,,,NIC,NRC04J330TRF,
1,U1,IC OPEN DRAIN AND GATE,TI,SN74AHC1G09DCKR,
1,U2,Integrated Power Management Unit,TI,TPS65217CRSLR,
1,U5,"AM3358B, SubArctic Cortex A8 Processor 15x15,1GHz, 2.1",TI,AM3358BZCZ100, 
2,"U9,U10",IC 4CH ESD SOLUTION W/CLAMP 6SON,TI,TPD4S012DRYR,
1,U4,IC LDO VOLT REG 500MA 8-SOIC,TI,TL5209DR,
1,U8,IC 1.5A PWR DIST SWITCH 8-SOIC,TI,TPS2051BDGNR,
1,U6,IC SGL POS EDG TRIG D F-F SM8,TI,SN74LVC1G74DCTR,
1,U15,IC BUFF/DVR TRI-ST DL 8VSSOP,TI,SN74LVC2G241DCUR,
1,U3,IC INVERTER SINGLE 1INPUT SC705,TI,SN74LVC1G06DCKR,
1,U12,"DDR3 Memory 4Gb,256Mx16",Micron,MT41K256M16HA-125:E,
,,,Micron,MT41K256M16TW-107:P,
,,,Kingston,D2516EC4BXGGB,
,,,Kingston,D2516EC4BXGGB-U,
,,,Kingston,D2516ECMDXGJD-U,
1,U13,"IC MEMORY, 4GB eMMC",Micron,MTFC4GLDEA 0M WT,
,,,Micron,MTFC4GMCDM-1M WT,
,,,Micron,MTFC4GACAJCN-1M WT,
,,,Kingston,EMMC04G-S100-A08U,
,,,Kingston,KE4CN2H5A-A58,
,,,Kingston,EMMC04G-M627-X02U,
,,,Kingston,EMMC04G-M627,
1,U7,IC EEPROM 32KBIT 400KHZ SOT23-5,MicroChip,24LC32AT-I/OT,
1,U14,ETHERNET PHY,SMSC,LAN8710A-EZC-TR,
,,,Microchip,LAN8710A-EZC-TR,
1,U11,IC HDMI INTERFACE HVQFN64,NXP,"TDA19988BHN/C1,557",
1,U16,IC BUFF/DVR NON-INVERT SC705,TI,SN74LVC1G07DCKR,
1,Y1,CRYSTAL 32.768KHZ 12.5PF SMD,Citizen,CM200C-32.768KAZF-UT,
,,,Abracon,ABS25-32.768KHZ-T,
1,Y3,CRYSTAL 25.000 MHZ 18PF SMD,TXC,7A-25.000MAAJ-T,
,,,TXC,7A25000007,
,,,CTS,445C33D25M00000,
,,,ILS,ILCX03-25.000000M-TBA,
,,,INTERQUIP,5XBB25000202TF40Q3,
1,Y2,CRYSTAL 24.000 MHZ 18PF SMD,TXC,7A-24.000MAAJ-T,
,,,TXC,7A24000014,
,,,CTS,445C33D24M00000,
,,,ILS,ILCX03-24.000000M-TBA,
,,,INTERQUIP,5XBB24000202TF50Q3,
1,Y4,"Oscillator, 24.576MHZ, 3.3V",Abracom,ASDMB-24.576MHZ-LC-T,
,,,ECS,ECS-2033-24.576-B,
,,,ILSI,ISM95-3161BH-24.576,
,,,TXC,8W24500007,
,,,INTERQUIP,1651-24575-BTBQYA,
,DO NOT INSTALL COMPONENTS BELOW.,,,,
,"P2,C24,FB8,R55,R57,R58,R59,R60,R61,R62,R63,R64,R69,R70,R81,R90,R91,R92,R93,R124,R140,R141,R9",,,,
,"THESE REFERENCE DESIGNATORS ARE NOT USED: P7,FB6",,,,
