Freq.	V(n028)/i(V8)
1.57400997863601e+06	(5.51327839776377e+01dB,9.87736415612496e+01°)
1.58307411179074e+06	(5.50837802101968e+01dB,9.87323054849320e+01°)
1.59219044188892e+06	(5.50347667765759e+01dB,9.86912476836483e+01°)
1.60135926951318e+06	(5.49857437866457e+01dB,9.86504669662174e+01°)
1.61058089697707e+06	(5.49367113491089e+01dB,9.86099621478571e+01°)
1.61985562833507e+06	(5.48876695715009e+01dB,9.85697320501960e+01°)
1.62918376939260e+06	(5.48386185602076e+01dB,9.85297755012797e+01°)
1.63856562771608e+06	(5.47895584204818e+01dB,9.84900913356009e+01°)
1.64800151264309e+06	(5.47404892564418e+01dB,9.84506783940465e+01°)
1.65749173529260e+06	(5.46914111711012e+01dB,9.84115355239443e+01°)
1.66703660857515e+06	(5.46423242663650e+01dB,9.83726615790741e+01°)
1.67663644720326e+06	(5.45932286430509e+01dB,9.83340554196378e+01°)
1.68629156770173e+06	(5.45441244008933e+01dB,9.82957159122745e+01°)
1.69600228841813e+06	(5.44950116385659e+01dB,9.82576419300764e+01°)
1.70576892953324e+06	(5.44458904536824e+01dB,9.82198323525618e+01°)
1.71559181307169e+06	(5.43967609428176e+01dB,9.81822860657265e+01°)
1.72547126291249e+06	(5.43476232015020e+01dB,9.81450019619722e+01°)
1.73540760479976e+06	(5.42984773242551e+01dB,9.81079789401856e+01°)
1.74540116635346e+06	(5.42493234045819e+01dB,9.80712159056855e+01°)
1.75545227708019e+06	(5.42001615349875e+01dB,9.80347117702188e+01°)
1.76556126838406e+06	(5.41509918069879e+01dB,9.79984654519972e+01°)
1.77572847357760e+06	(5.41018143111151e+01dB,9.79624758756861e+01°)
1.78595422789277e+06	(5.40526291369466e+01dB,9.79267419723759e+01°)
1.79623886849200e+06	(5.40034363730883e+01dB,9.78912626795919e+01°)
1.80658273447932e+06	(5.39542361072116e+01dB,9.78560369413459e+01°)
1.81698616691152e+06	(5.39050284260445e+01dB,9.78210637080206e+01°)
1.82744950880944e+06	(5.38558134153867e+01dB,9.77863419364925e+01°)
1.83797310516919e+06	(5.38065911601240e+01dB,9.77518705900343e+01°)
1.84855730297365e+06	(5.37573617442420e+01dB,9.77176486383424e+01°)
1.85920245120379e+06	(5.37081252508259e+01dB,9.76836750575922e+01°)
1.86990890085027e+06	(5.36588817620695e+01dB,9.76499488302948e+01°)
1.88067700492494e+06	(5.36096313593010e+01dB,9.76164689454515e+01°)
1.89150711847254e+06	(5.35603741229710e+01dB,9.75832343984435e+01°)
1.90239959858236e+06	(5.35111101326852e+01dB,9.75502441910587e+01°)
1.91335480440005e+06	(5.34618394671894e+01dB,9.75174973314974e+01°)
1.92437309713944e+06	(5.34125622043978e+01dB,9.74849928343415e+01°)
1.93545484009444e+06	(5.33632784213967e+01dB,9.74527297205906e+01°)
1.94660039865106e+06	(5.33139881944456e+01dB,9.74207070176096e+01°)
1.95781014029941e+06	(5.32646915990071e+01dB,9.73889237591519e+01°)
1.96908443464583e+06	(5.32153887097294e+01dB,9.73573789853298e+01°)
1.98042365342512e+06	(5.31660796004701e+01dB,9.73260717426455e+01°)
1.99182817051274e+06	(5.31167643443102e+01dB,9.72950010839419e+01°)
2.00329836193714e+06	(5.30674430135535e+01dB,9.72641660684438e+01°)
2.01483460589220e+06	(5.30181156797321e+01dB,9.72335657616862e+01°)
2.02643728274969e+06	(5.29687824136251e+01dB,9.72031992355723e+01°)
2.03810677507176e+06	(5.29194432852679e+01dB,9.71730655683352e+01°)
2.04984346762362e+06	(5.28700983639484e+01dB,9.71431638445213e+01°)
2.06164774738619e+06	(5.28207477182195e+01dB,9.71134931549847e+01°)
2.07352000356887e+06	(5.27713914159248e+01dB,9.70840525969238e+01°)
2.08546062762237e+06	(5.27220295241739e+01dB,9.70548412738010e+01°)
2.09747001325161e+06	(5.26726621093882e+01dB,9.70258582954029e+01°)
2.10954855642873e+06	(5.26232892372725e+01dB,9.69971027777912e+01°)
2.12169665540610e+06	(5.25739109728518e+01dB,9.69685738432846e+01°)
2.13391471072950e+06	(5.25245273804695e+01dB,9.69402706204932e+01°)
2.14620312525127e+06	(5.24751385237813e+01dB,9.69121922442766e+01°)
2.15856230414367e+06	(5.24257444657869e+01dB,9.68843378557361e+01°)
2.17099265491216e+06	(5.23763452688218e+01dB,9.68567066022419e+01°)
2.18349458740887e+06	(5.23269409945708e+01dB,9.68292976373685e+01°)
